Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
LAMA4	2.8e-14	34.7	84.9	-1.29
CCBE1	3.8e-15	1.0	2.4	-1.29
CEP85L	6.3e-19	2.0	4.9	-1.29
IL6R	q<=5.0e-20	6.7	16.4	-1.29
QKI	q<=5.0e-20	17.1	41.8	-1.29
GALE	q<=5.0e-20	57.3	23.4	1.29
DZIP1L	q<=5.0e-20	2.8	6.8	-1.29
SENCR	1.8e-15	1.0	2.4	-1.29
TIMELESS	q<=5.0e-20	24.5	10.0	1.29
FBLN2	4.6e-11	76.9	187.1	-1.28
CRY2	q<=5.0e-20	31.0	75.3	-1.28
LINC00667	q<=5.0e-20	16.0	38.8	-1.28
ARHGAP39	q<=5.0e-20	13.2	5.5	1.28
KLHDC9	q<=5.0e-20	21.1	8.7	1.28
C4orf19	5.6e-04	2.5	6.0	-1.28
ITGA9-AS1	8.7e-19	12.4	30.2	-1.28
LUZP2	5.7e-08	1.0	2.4	-1.28
SLC39A4	q<=5.0e-20	24.8	10.2	1.28
KLHDC1	q<=5.0e-20	3.1	7.5	-1.28
FBLN1	2.7e-12	189.4	460.7	-1.28
LURAP1	q<=5.0e-20	1.0	2.4	-1.28
MCM4	q<=5.0e-20	75.5	31.1	1.28
PCDH17	q<=5.0e-20	3.5	1.5	1.28
TRO	q<=5.0e-20	7.5	18.3	-1.28
LCAT	q<=5.0e-20	5.8	14.2	-1.28
FGF13-AS1	3.2e-14	1.0	2.4	-1.28
ASCL2	3.6e-15	3.4	1.4	1.28
DMTN	q<=5.0e-20	19.1	46.2	-1.28
ESR1	q<=5.0e-20	158.7	65.4	1.28
TSPAN12	4.0e-11	8.7	21.3	-1.28
EDA	q<=5.0e-20	1.0	2.4	-1.28
ZNF106	1.1e-09	25.9	63.1	-1.28
TGFA	2.6e-05	3.8	9.3	-1.28
POLR3K	q<=5.0e-20	34.5	14.3	1.27
PODXL2	q<=5.0e-20	47.2	19.6	1.27
TCF7L2	q<=5.0e-20	20.2	48.7	-1.27
FSTL1	1.4e-14	145.1	349.3	-1.27
EVPL	q<=5.0e-20	20.6	8.5	1.27
ARHGEF40	q<=5.0e-20	20.3	48.9	-1.27
LINC00639	2.0e-13	1.0	2.4	-1.27
RUSC1	q<=5.0e-20	66.5	27.6	1.27
PER2	1.1e-19	14.4	34.8	-1.27
NACC1	q<=5.0e-20	51.9	21.5	1.27
MAP6	4.8e-17	2.6	6.3	-1.27
GIMAP4	q<=5.0e-20	33.5	80.8	-1.27
FEN1	q<=5.0e-20	45.7	18.9	1.27
APOBEC3C	q<=5.0e-20	22.4	54.2	-1.27
EPCAM-DT	2.1e-10	2.2	5.4	-1.27
YAP1	q<=5.0e-20	45.4	109.3	-1.27
TLR3	q<=5.0e-20	4.6	11.2	-1.27
TSPAN13	q<=5.0e-20	378.6	157.8	1.26
FGD3	q<=5.0e-20	29.4	12.3	1.26
TRAF3IP2-AS1	q<=5.0e-20	1.3	3.2	-1.26
RGS5	7.7e-06	59.1	141.6	-1.26
FZD5	4.0e-19	2.5	6.0	-1.26
PLEKHG1	5.8e-19	8.3	20.0	-1.26
KDR	q<=5.0e-20	18.2	43.6	-1.26
GPR17	3.2e-13	1.0	2.4	-1.26
SNORD99	q<=5.0e-20	6.3	2.6	1.26
GBP5	q<=5.0e-20	6.9	2.9	1.26
PPP1R14B	q<=5.0e-20	163.1	67.9	1.26
LINC01119	q<=5.0e-20	1.2	2.8	-1.26
FER	q<=5.0e-20	4.6	11.0	-1.26
STXBP1	q<=5.0e-20	17.1	41.0	-1.26
LRRC56	q<=5.0e-20	8.3	3.5	1.26
TCN2	1.8e-19	25.7	61.5	-1.26
SDR16C5	q<=5.0e-20	9.0	3.7	1.26
AVPI1	2.2e-15	15.8	37.6	-1.25
MROH6	q<=5.0e-20	6.3	2.7	1.25
ESRP1	q<=5.0e-20	112.7	47.5	1.25
TUFT1	q<=5.0e-20	50.4	21.2	1.25
RPH3AL-AS1	5.3e-10	1.5	3.6	-1.25
COL1A2	q<=5.0e-20	2023.8	851.3	1.25
ANKDD1A	q<=5.0e-20	2.8	6.6	-1.25
PJVK	q<=5.0e-20	2.2	5.3	-1.25
BEND5	q<=5.0e-20	3.8	9.1	-1.25
GJC2	7.0e-12	1.4	3.3	-1.25
GP2	5.2e-12	5.5	2.3	1.25
GINS4	q<=5.0e-20	3.7	1.6	1.25
PCNX1	q<=5.0e-20	11.7	27.8	-1.25
CCL8	3.9e-04	6.8	16.2	-1.25
DLL1	q<=5.0e-20	3.8	9.1	-1.25
RBMS2	q<=5.0e-20	12.2	28.9	-1.25
KLRF1	9.9e-12	1.0	2.4	-1.25
PPM1F	q<=5.0e-20	15.1	35.9	-1.25
KIF24	q<=5.0e-20	4.0	1.7	1.25
ZBED9	2.3e-07	1.0	2.4	-1.25
STARD8	q<=5.0e-20	5.0	11.8	-1.25
DPP3	q<=5.0e-20	52.6	22.2	1.25
ITGA1	1.5e-18	13.0	30.7	-1.24
PLCE1	4.2e-11	2.7	6.5	-1.24
JADE1	q<=5.0e-20	14.5	34.3	-1.24
MYCBP2	q<=5.0e-20	11.3	26.7	-1.24
ROGDI	q<=5.0e-20	27.9	11.8	1.24
AGPAT2	3.2e-10	83.4	197.5	-1.24
PCDHGA6	4.5e-17	1.1	2.6	-1.24
LYSMD4	q<=5.0e-20	4.9	11.6	-1.24
ARHGEF37	4.0e-19	16.5	39.2	-1.24
CYP4Z1	6.0e-08	6.2	14.6	-1.24
SMC4	q<=5.0e-20	28.4	12.0	1.24
DOK5	1.2e-08	3.3	7.8	-1.24
TENM3	1.3e-07	2.4	5.8	-1.24
THRA	q<=5.0e-20	35.8	84.4	-1.24
TSPAN2	q<=5.0e-20	5.5	13.0	-1.24
DNAH14	q<=5.0e-20	3.3	1.4	1.24
DIPK2A	4.1e-17	12.3	29.2	-1.24
CHST7	q<=5.0e-20	2.9	6.7	-1.24
LTB	1.2e-14	12.2	5.2	1.24
ZNF540	2.6e-19	1.9	4.5	-1.24
HABP4	q<=5.0e-20	7.8	18.5	-1.24
SLAMF8	q<=5.0e-20	2.4	1.0	1.24
NRIP2	q<=5.0e-20	4.0	9.3	-1.23
CLU	4.0e-09	471.8	1103.0	-1.23
PCDHGC3	q<=5.0e-20	10.8	25.3	-1.23
NUDT11	1.2e-04	1.5	3.5	-1.23
ERRFI1	2.2e-12	53.0	123.9	-1.23
PPM1L	9.2e-20	3.7	8.8	-1.23
MICAL2	q<=5.0e-20	38.9	16.5	1.23
AKAP6	3.6e-05	1.0	2.3	-1.23
APOC1	4.3e-07	73.2	31.3	1.23
ABCA1	6.6e-14	10.3	24.1	-1.23
RAB9B	q<=5.0e-20	3.5	8.3	-1.23
TTC23	q<=5.0e-20	9.3	21.9	-1.23
ZNF391	q<=5.0e-20	2.9	6.9	-1.23
MXD3	q<=5.0e-20	10.7	4.6	1.23
RASSF7	q<=5.0e-20	36.4	15.5	1.23
EVA1C	q<=5.0e-20	22.5	53.1	-1.23
CBX4	q<=5.0e-20	47.1	20.1	1.23
MCRIP2	q<=5.0e-20	72.5	30.9	1.23
PER3	6.8e-17	9.9	23.4	-1.23
COMTD1	q<=5.0e-20	15.9	6.7	1.23
ARHGAP31	q<=5.0e-20	10.0	23.6	-1.23
GLIS2-AS1	1.0e-09	1.2	2.9	-1.23
ZNF781	q<=5.0e-20	1.0	2.3	-1.23
RHOQ	1.8e-15	26.9	63.0	-1.23
PARPBP	q<=5.0e-20	4.3	1.8	1.23
TNFRSF8	3.3e-15	1.0	2.3	-1.23
PGAP1	2.4e-18	2.9	6.8	-1.22
FAM135A	q<=5.0e-20	3.6	8.4	-1.22
FTO	q<=5.0e-20	32.6	76.1	-1.22
PAX9	q<=5.0e-20	4.9	2.1	1.22
CSF1	q<=5.0e-20	45.8	107.0	-1.22
RHOXF1	7.3e-13	1.0	2.3	-1.22
MIR616	6.1e-06	1.2	2.9	-1.22
PLCXD3	4.6e-15	1.0	2.3	-1.22
CTNNAL1	q<=5.0e-20	21.2	49.5	-1.22
DCUN1D3	q<=5.0e-20	6.5	15.1	-1.22
SPART	q<=5.0e-20	24.3	56.7	-1.22
ANO6	5.8e-19	51.8	120.8	-1.22
MAGI1	q<=5.0e-20	14.4	33.5	-1.22
GALNT6	q<=5.0e-20	91.0	39.1	1.22
LLGL2	q<=5.0e-20	74.9	32.1	1.22
RANBP3L	9.1e-04	1.6	3.8	-1.22
KCNK6	q<=5.0e-20	23.6	10.1	1.22
C1QTNF2	2.4e-07	1.9	4.4	-1.22
LOXL1	q<=5.0e-20	53.3	22.9	1.22
ZNF711	1.7e-07	3.7	8.7	-1.22
VWA5A	q<=5.0e-20	21.0	48.8	-1.22
FOXO4	q<=5.0e-20	17.0	39.6	-1.22
PCDHB12	q<=5.0e-20	1.0	2.3	-1.22
ISLR2	3.0e-13	1.0	2.3	-1.22
BRCA2	q<=5.0e-20	2.3	1.0	1.22
LIX1L	q<=5.0e-20	13.0	30.1	-1.21
BATF	1.9e-18	32.2	13.9	1.21
LAMTOR2	q<=5.0e-20	260.7	112.6	1.21
RNF217	q<=5.0e-20	3.4	7.9	-1.21
TEAD1	2.5e-19	19.5	45.3	-1.21
DHRS3	1.2e-18	68.0	156.9	-1.21
ATL1	q<=5.0e-20	8.5	19.6	-1.21
MARCKSL1	q<=5.0e-20	663.3	286.6	1.21
RAB25	q<=5.0e-20	301.2	130.4	1.21
CSGALNACT1	q<=5.0e-20	8.4	19.4	-1.21
NAT14	q<=5.0e-20	34.7	15.0	1.21
SCARF1	q<=5.0e-20	6.2	14.5	-1.21
ACER2	3.2e-12	5.0	11.5	-1.21
SLC47A1	2.3e-04	1.5	3.5	-1.21
CBX8	q<=5.0e-20	7.6	3.3	1.21
SLC25A37	6.0e-17	18.3	42.4	-1.21
DNAAF8	q<=5.0e-20	2.7	1.2	1.21
LINC02289	3.1e-08	1.0	2.3	-1.21
ADAMTS8	2.5e-05	1.0	2.3	-1.20
C16orf86	q<=5.0e-20	2.5	5.7	-1.20
ECHDC1	q<=5.0e-20	42.1	96.7	-1.20
EPS8	q<=5.0e-20	36.9	84.6	-1.20
EHBP1	6.0e-20	16.3	37.6	-1.20
FOXS1	q<=5.0e-20	5.5	2.4	1.20
CLCN6	q<=5.0e-20	7.6	17.5	-1.20
GNRH1	1.0e-12	2.3	5.2	-1.20
POLE2	q<=5.0e-20	9.3	4.0	1.20
TYMS	q<=5.0e-20	9.3	4.0	1.20
SAC3D1	q<=5.0e-20	25.3	11.1	1.20
SIAH2	q<=5.0e-20	85.0	37.1	1.20
FUT2	q<=5.0e-20	6.1	2.7	1.20
REV3L	q<=5.0e-20	6.8	15.5	-1.20
OSCAR	q<=5.0e-20	6.8	2.9	1.20
CD93	1.2e-18	35.1	80.4	-1.20
DNAJC18	q<=5.0e-20	4.2	9.7	-1.20
SAV1	q<=5.0e-20	38.2	87.6	-1.20
KRT18	q<=5.0e-20	1037.2	453.1	1.20
LBX2	q<=5.0e-20	2.3	1.0	1.20
CALCOCO1	q<=5.0e-20	35.5	81.4	-1.20
FAM110A	q<=5.0e-20	48.0	21.0	1.19
LPAR6	q<=5.0e-20	28.8	65.6	-1.19
SLC38A5	q<=5.0e-20	8.6	3.8	1.19
HSPA4L	1.1e-07	2.6	5.8	-1.19
NOD2	q<=5.0e-20	4.1	1.8	1.19
RCAN2	1.2e-15	9.0	20.6	-1.19
FKBP4	q<=5.0e-20	194.4	85.1	1.19
RETSAT	2.1e-13	83.1	188.9	-1.19
CDK5	q<=5.0e-20	46.0	20.1	1.19
GOLGA7B	4.6e-06	1.0	2.3	-1.19
MEIS1	q<=5.0e-20	4.7	10.7	-1.19
ANKK1	2.3e-15	1.0	2.3	-1.19
TRIM52-AS1	q<=5.0e-20	16.6	38.1	-1.19
MRPS34	q<=5.0e-20	183.1	80.5	1.19
P2RY13	5.2e-16	3.4	7.8	-1.19
SNHG25	q<=5.0e-20	5.6	2.5	1.19
MDFIC	6.4e-18	22.9	52.2	-1.19
YBX3	2.1e-10	152.0	345.7	-1.19
RILP	6.2e-19	6.8	15.4	-1.19
PAPLN	q<=5.0e-20	4.1	9.4	-1.19
NFIL3	2.5e-18	24.9	56.8	-1.19
MRPL12	q<=5.0e-20	8.4	3.7	1.19
TMEM237	q<=5.0e-20	14.3	32.6	-1.19
RDM1	q<=5.0e-20	2.3	1.0	1.19
CCL11	q<=5.0e-20	2.3	1.0	1.19
KLHL35	q<=5.0e-20	7.3	3.2	1.18
EIF3L	q<=5.0e-20	118.8	268.4	-1.18
PARD3B	q<=5.0e-20	6.1	13.9	-1.18
HMGN3-AS1	q<=5.0e-20	1.2	2.7	-1.18
RBPMS	q<=5.0e-20	55.6	125.8	-1.18
OSGIN1	2.2e-07	6.2	14.1	-1.18
ZNF703	q<=5.0e-20	108.3	47.7	1.18
BMP4	2.3e-06	11.6	26.1	-1.18
WTIP	q<=5.0e-20	2.0	4.6	-1.18
APBB1IP	3.0e-14	14.7	33.3	-1.18
SLC25A22	q<=5.0e-20	29.8	13.1	1.18
HOXD9	3.6e-15	5.8	13.1	-1.18
GRID1	q<=5.0e-20	1.0	2.3	-1.18
NELL2	q<=5.0e-20	9.2	4.0	1.18
DNAJC12	q<=5.0e-20	58.4	25.8	1.18
ADRB1	1.8e-05	1.0	2.3	-1.18
RPS6KA2	q<=5.0e-20	16.9	38.3	-1.18
PPP2R1B	2.9e-13	21.9	49.6	-1.18
GSTP1	4.1e-09	365.8	829.0	-1.18
B4GALNT3	q<=5.0e-20	11.5	5.1	1.17
SYNGR3	q<=5.0e-20	2.2	1.0	1.17
ZNF552	q<=5.0e-20	63.5	28.2	1.17
PRICKLE2	q<=5.0e-20	5.5	12.5	-1.17
PHLDA1	1.5e-07	16.9	38.0	-1.17
LINC01615	q<=5.0e-20	2.2	1.0	1.17
HAND2	1.5e-16	1.0	2.2	-1.17
PABPC5	1.8e-08	1.0	2.3	-1.17
SLCO3A1	q<=5.0e-20	11.6	26.1	-1.17
LSM4	q<=5.0e-20	145.3	64.4	1.17
SLC1A3	6.3e-09	10.2	23.0	-1.17
LINC01852	3.1e-14	1.0	2.3	-1.17
SRPK3	3.5e-04	2.7	1.2	1.17
PIF1	q<=5.0e-20	2.2	1.0	1.17
STK32A	3.0e-17	1.0	2.2	-1.17
MRGPRX3	2.2e-08	1.0	2.2	-1.17
PIP4P2	q<=5.0e-20	5.9	13.3	-1.17
LRFN1	q<=5.0e-20	3.7	1.6	1.17
ETNK2	q<=5.0e-20	26.3	11.7	1.17
RNF175	8.0e-10	2.0	4.4	-1.17
ATP8A1	9.4e-11	4.0	8.9	-1.17
SEPTIN10	q<=5.0e-20	37.4	84.0	-1.17
LINC02236	q<=5.0e-20	2.3	1.0	1.17
LOC101929066	9.8e-15	1.2	2.7	-1.17
CKAP2	q<=5.0e-20	28.5	12.6	1.17
OSM	q<=5.0e-20	2.3	1.0	1.17
OAF	q<=5.0e-20	31.7	71.2	-1.17
TMEM170B	1.0e-11	2.5	5.7	-1.17
KLHDC7A	1.4e-04	2.4	5.5	-1.17
CFLAR	q<=5.0e-20	24.3	54.5	-1.17
TM4SF1	1.6e-07	308.0	694.3	-1.17
NR4A2	1.1e-05	13.2	29.8	-1.17
C14orf132	7.1e-13	8.8	19.8	-1.17
LINC01354	3.5e-17	1.0	2.3	-1.17
USP2	6.5e-04	2.2	5.0	-1.17
TMPRSS6	q<=5.0e-20	2.3	1.0	1.17
MSRA	q<=5.0e-20	15.2	34.3	-1.17
CD163L1	4.6e-07	2.7	6.1	-1.17
SPART-AS1	1.2e-11	1.0	2.2	-1.17
KLRB1	3.1e-06	2.1	4.6	-1.17
SEPTIN4	q<=5.0e-20	14.7	32.8	-1.16
CSRP2	3.9e-11	27.9	62.0	-1.16
MIR6503	6.6e-10	1.0	2.2	-1.16
MST1R	q<=5.0e-20	10.6	4.8	1.16
CCR4	1.2e-13	2.2	1.0	1.16
EFNB1	q<=5.0e-20	18.8	42.0	-1.16
CACFD1	q<=5.0e-20	46.6	20.9	1.16
PLAAT3	6.8e-12	157.3	351.0	-1.16
MXI1	q<=5.0e-20	35.5	79.1	-1.16
SCML1	5.1e-16	6.6	14.8	-1.16
ELMOD3	2.1e-16	24.3	54.2	-1.16
GADD45G	q<=5.0e-20	20.4	9.1	1.16
MXRA7	q<=5.0e-20	62.6	139.6	-1.16
COL21A1	7.2e-07	1.5	3.3	-1.16
RCSD1	3.1e-17	9.2	20.5	-1.16
SUN2	q<=5.0e-20	47.1	104.8	-1.16
LAMC1	q<=5.0e-20	73.0	163.3	-1.16
SH3BP5-AS1	3.8e-18	2.8	6.3	-1.16
CD59	q<=5.0e-20	99.9	222.6	-1.16
HID1	q<=5.0e-20	119.5	53.4	1.16
ARHGAP28	1.3e-12	3.5	7.9	-1.16
VIPR1	q<=5.0e-20	12.2	27.3	-1.16
TMEM121	q<=5.0e-20	6.1	2.7	1.16
GAB3	7.5e-17	2.2	5.0	-1.16
GRAMD1C	2.2e-12	6.3	14.0	-1.16
NLGN3	1.9e-17	1.0	2.2	-1.16
SBF2	q<=5.0e-20	10.7	23.6	-1.15
RNF223	q<=5.0e-20	3.5	1.6	1.15
CDC42EP3	q<=5.0e-20	14.9	33.1	-1.15
PLLP	1.5e-16	12.9	28.6	-1.15
C15orf48	q<=5.0e-20	16.7	7.5	1.15
GAS7	1.8e-13	13.2	29.3	-1.15
SHPRH	2.1e-11	4.6	10.3	-1.15
ATP6V0B	q<=5.0e-20	291.0	131.0	1.15
VSIG4	2.1e-06	18.9	41.9	-1.15
UBAP1L	2.7e-09	4.7	10.4	-1.15
CGNL1	1.2e-09	12.4	27.6	-1.15
EPHA10	q<=5.0e-20	4.1	1.8	1.15
RBMS1	q<=5.0e-20	35.4	78.4	-1.15
LINC02018	1.7e-07	1.0	2.2	-1.15
CHD9	q<=5.0e-20	13.4	29.7	-1.15
WNT5B	1.2e-08	5.2	11.5	-1.15
RRAS2	q<=5.0e-20	16.1	35.7	-1.15
FZD2	q<=5.0e-20	4.8	2.2	1.15
LRRC45	q<=5.0e-20	24.2	10.9	1.15
GPR160	q<=5.0e-20	68.2	30.7	1.15
LOC105378663	7.2e-11	2.3	5.0	-1.15
TIMP3	8.6e-16	362.6	803.5	-1.15
PIWIL2-DT	7.4e-19	1.3	2.9	-1.15
DYNC2H1	4.4e-19	4.0	8.9	-1.15
MERTK	q<=5.0e-20	7.0	15.4	-1.15
DDX39A	q<=5.0e-20	103.5	47.0	1.14
NRP1	7.3e-17	48.9	108.0	-1.14
ZNF667-AS1	q<=5.0e-20	15.8	34.8	-1.14
ZNF300	1.9e-11	3.1	6.9	-1.14
CD200R1	4.9e-08	1.1	2.5	-1.14
CBLC	q<=5.0e-20	33.2	15.1	1.14
DLG2	4.4e-13	1.0	2.2	-1.14
LINC01352	5.7e-17	1.0	2.2	-1.14
HSD52	5.6e-19	1.0	2.2	-1.14
ASB1	q<=5.0e-20	8.0	17.6	-1.14
NBEAL1	1.7e-08	2.3	5.2	-1.14
BBC3	q<=5.0e-20	17.9	8.1	1.14
TMEM213	9.8e-05	1.0	2.2	-1.14
CHPF	q<=5.0e-20	120.8	54.7	1.14
CCDC184	4.9e-10	1.0	2.2	-1.14
SEC31B	1.8e-14	2.5	5.5	-1.14
PLS3	q<=5.0e-20	87.3	192.9	-1.14
SLC25A25	3.5e-12	16.2	35.6	-1.14
POLQ	q<=5.0e-20	2.2	1.0	1.14
KANK2	7.3e-19	35.6	78.5	-1.14
SYCE3	q<=5.0e-20	3.1	1.4	1.14
MYOSLID	6.8e-12	1.0	2.2	-1.14
MAP3K5	4.3e-18	10.4	22.9	-1.14
COLEC12	8.2e-08	13.9	30.5	-1.14
CELSR1	q<=5.0e-20	46.4	21.1	1.14
SETBP1	6.4e-16	7.7	16.9	-1.14
FLVCR1	q<=5.0e-20	12.0	5.4	1.14
SPOCD1	q<=5.0e-20	2.2	1.0	1.14
CDK6	5.5e-05	5.0	11.0	-1.14
MCC	q<=5.0e-20	10.8	23.5	-1.13
SLITRK4	4.4e-04	1.0	2.2	-1.13
PCDHB16	7.6e-10	2.7	5.8	-1.13
DOCK8-AS1	7.1e-14	1.0	2.2	-1.13
ARMCX4	1.7e-14	4.4	9.6	-1.13
SNRNP25	q<=5.0e-20	88.5	40.5	1.13
PCCA	q<=5.0e-20	19.1	41.8	-1.13
ARHGAP19	q<=5.0e-20	8.7	19.1	-1.13
S100A4	8.5e-10	294.3	645.3	-1.13
CCNO	q<=5.0e-20	10.0	4.6	1.13
RMDN2	q<=5.0e-20	4.9	10.7	-1.13
ADAMTSL1	7.1e-11	2.7	5.9	-1.13
CCSER1	8.5e-05	1.4	3.1	-1.12
NR2F1-AS1	7.5e-14	3.9	8.5	-1.12
PACSIN1	q<=5.0e-20	2.2	1.0	1.12
IGIP	q<=5.0e-20	9.7	21.0	-1.12
TRIM11	q<=5.0e-20	30.8	14.2	1.12
CLEC4G	2.4e-07	1.0	2.2	-1.12
LOC100289495	q<=5.0e-20	1.1	2.3	-1.12
EIF4A1	6.0e-07	2.1	4.6	-1.12
ZNF582-DT	q<=5.0e-20	1.5	3.3	-1.12
SEMA7A	q<=5.0e-20	6.9	3.2	1.12
CDK5R1	q<=5.0e-20	3.4	1.6	1.12
DIPK1A	4.5e-19	16.7	36.3	-1.12
CFAP300	1.6e-08	2.0	4.5	-1.12
ROCK2	q<=5.0e-20	20.6	44.9	-1.12
ZHX3	q<=5.0e-20	8.1	17.6	-1.12
ASPRV1	8.5e-04	1.6	3.4	-1.12
UGP2	9.2e-19	133.8	290.2	-1.12
PHLDB1	3.1e-17	31.1	67.6	-1.12
COLEC11	1.1e-05	1.0	2.2	-1.12
HSPB1	q<=5.0e-20	1364.2	628.4	1.12
LATS2	q<=5.0e-20	11.4	24.9	-1.12
DIAPH2	7.1e-19	7.6	16.4	-1.12
VAMP2	q<=5.0e-20	63.3	138.1	-1.12
LIMD2	q<=5.0e-20	11.3	5.2	1.12
MAL2	q<=5.0e-20	186.7	86.0	1.12
NUPR2	q<=5.0e-20	10.4	4.8	1.12
MROH8	q<=5.0e-20	1.3	2.9	-1.12
IL22RA1	1.5e-11	1.0	2.2	-1.12
BIK	q<=5.0e-20	31.6	14.5	1.12
SNTB2	q<=5.0e-20	9.4	20.5	-1.12
CNTNAP3B	q<=5.0e-20	1.0	2.2	-1.12
MIR573	6.0e-12	3.5	7.7	-1.12
PLIN2	5.2e-15	64.8	140.8	-1.12
RADX	1.4e-04	1.0	2.2	-1.12
ALPK3	6.2e-05	2.0	4.3	-1.12
RAMP2	1.3e-16	67.8	147.2	-1.12
ACOT7	q<=5.0e-20	46.2	21.4	1.11
ARHGEF25	q<=5.0e-20	2.7	5.8	-1.11
MSX1	4.0e-10	4.0	8.7	-1.11
TANK	q<=5.0e-20	62.6	135.5	-1.11
FBXW7	q<=5.0e-20	12.6	27.2	-1.11
PGP	q<=5.0e-20	13.7	6.3	1.11
ENTPD8	q<=5.0e-20	2.2	1.0	1.11
SFTA1P	1.1e-05	1.0	2.2	-1.11
CLIP3	q<=5.0e-20	12.0	25.9	-1.11
MTMR10	q<=5.0e-20	13.9	30.0	-1.11
NUDT16L1	q<=5.0e-20	74.3	34.4	1.11
TRPM2	q<=5.0e-20	7.9	3.7	1.11
WNK2	3.2e-07	7.6	16.4	-1.11
MYH3	8.4e-12	1.0	2.2	-1.11
MYBL1	q<=5.0e-20	5.3	2.4	1.11
GGCT	q<=5.0e-20	90.7	42.1	1.11
FKBP5	1.1e-06	41.3	89.4	-1.11
COL7A1	3.8e-04	4.2	9.0	-1.11
KCNMA1	4.5e-05	7.0	15.0	-1.11
RAB31	q<=5.0e-20	104.7	48.6	1.11
BOLA3-AS1	q<=5.0e-20	2.8	6.0	-1.11
COL8A1	2.5e-19	42.2	19.5	1.11
PABIR1	q<=5.0e-20	8.4	18.1	-1.11
STS	1.4e-12	9.2	20.0	-1.11
LINC00654	1.1e-07	1.3	2.8	-1.11
LINC00921	q<=5.0e-20	1.3	2.9	-1.11
STEAP2	8.1e-05	14.0	30.1	-1.11
IL7	6.4e-09	1.2	2.7	-1.11
ADAMTSL3	2.9e-08	2.3	4.9	-1.10
EFNA3	q<=5.0e-20	11.4	5.3	1.10
TCF4	6.2e-17	26.3	56.5	-1.10
CENPX	q<=5.0e-20	122.8	57.1	1.10
TMEM79	q<=5.0e-20	25.3	11.8	1.10
SAMD11	q<=5.0e-20	2.1	1.0	1.10
RPUSD1	q<=5.0e-20	36.1	16.8	1.10
NME3	q<=5.0e-20	114.1	53.0	1.10
LNCAROD	8.8e-09	2.1	1.0	1.10
DENND5B	3.2e-19	4.6	9.9	-1.10
PEG10	1.2e-07	21.6	46.5	-1.10
ABCA12	2.1e-04	2.1	1.0	1.10
NYNRIN	q<=5.0e-20	8.5	18.3	-1.10
MTHFD2	q<=5.0e-20	40.9	19.1	1.10
SLC12A6	q<=5.0e-20	7.1	15.3	-1.10
ARHGAP23	q<=5.0e-20	10.4	22.3	-1.10
RXRG	1.3e-06	1.0	2.1	-1.10
SCPEP1	q<=5.0e-20	122.3	262.6	-1.10
MIR31HG	7.6e-08	1.0	2.1	-1.10
KIF17	8.8e-18	1.0	2.1	-1.10
FNIP2	q<=5.0e-20	11.7	25.1	-1.10
HMGA1	q<=5.0e-20	147.6	68.7	1.10
PACC1	q<=5.0e-20	14.1	6.6	1.10
NAXE	q<=5.0e-20	275.9	128.6	1.10
LOC100507053	q<=5.0e-20	1.0	2.1	-1.10
WSCD2	8.7e-09	1.0	2.1	-1.10
LOC100506258	4.3e-09	1.3	2.7	-1.10
SLC16A2	1.8e-15	14.7	31.5	-1.10
WDR5B-DT	q<=5.0e-20	4.8	10.3	-1.10
HIC1	2.4e-16	4.5	9.6	-1.10
SLC4A8	q<=5.0e-20	7.2	3.4	1.10
MISP3	q<=5.0e-20	20.6	9.6	1.10
OSBPL1A	q<=5.0e-20	43.9	94.0	-1.10
SLC39A11	q<=5.0e-20	78.7	36.7	1.10
KPNA5	q<=5.0e-20	4.4	9.5	-1.10
RAPGEF2	q<=5.0e-20	13.7	29.3	-1.10
OSR2	3.6e-05	11.8	25.4	-1.10
MT1E	9.6e-09	90.5	194.3	-1.10
SLC6A9	q<=5.0e-20	17.4	8.1	1.10
FADS2	3.1e-13	65.1	30.5	1.09
TMEM63B	q<=5.0e-20	62.7	29.4	1.09
CTIF	6.6e-17	17.8	37.9	-1.09
GBE1	1.8e-12	26.5	56.6	-1.09
NECTIN2	q<=5.0e-20	233.7	109.4	1.09
TNFRSF21	1.6e-14	28.5	60.8	-1.09
C1R	1.5e-16	206.9	440.2	-1.09
PCNA	q<=5.0e-20	222.6	104.3	1.09
LMNB2	q<=5.0e-20	38.9	18.3	1.09
KLF10	9.4e-19	75.7	161.7	-1.09
KIF22	q<=5.0e-20	62.5	29.3	1.09
BNIP2	q<=5.0e-20	24.3	51.5	-1.09
ACCS	q<=5.0e-20	12.1	25.7	-1.09
CA13	8.1e-04	2.6	5.6	-1.09
GPR143	q<=5.0e-20	6.6	3.1	1.09
STXBP2	q<=5.0e-20	49.4	23.2	1.09
CREBRF	q<=5.0e-20	16.0	34.1	-1.09
REEP4	q<=5.0e-20	42.7	20.0	1.09
TUBA1C	q<=5.0e-20	57.4	26.9	1.09
CTSD	q<=5.0e-20	490.5	231.0	1.09
ADGRA3	q<=5.0e-20	17.4	37.1	-1.09
KIAA1109	1.8e-19	15.3	32.5	-1.09
PHYHD1	4.8e-16	18.5	39.5	-1.09
PPP4C	q<=5.0e-20	225.3	105.9	1.09
TPM3	4.6e-12	321.3	150.5	1.09
ST3GAL6	6.8e-15	4.7	10.0	-1.09
LOC100507283	6.7e-17	2.2	4.6	-1.09
